Boy,2013,1,3.3,10,1090,1.4,A
Life on the Mississippi,2013,7,3.5,4,1150,2,A
Raisin in the Sun,2013,17,5.2,15,100,1.7,B
Harlem,2013,24,6.4,1,100,,B
Pulling Up Stakes,2013,26.5,4.3,4,410,1.4,B
Sucker,2013,30.5,4.1,4,990,1.7,B
Demystifying the Adolescent Brain,2013,40.5,1.3,4,1410,1.7,C
Phineas Gage: A Gruesome...,2013,47.5,1.1,10,1030,1.7,C
Phineas Gage: Unravelling the Myth,2013,52.5,1.2,0,990,1.7,C
Man Who Mistook His Wife for a Hat,2013,55,1.4,5,860,,C
Success is Counted Sweetest,2013,65,6.2,2,100,1.7,D
A Narrow Fellow in the Grass,2013,67.5,6,3,100,,D
Raven,2013,71,6.4,4,100,1.4,D
Cask of Amontillado,2013,75.5,4.2,5,800,2,D
Tell-Tale Heart,2013,81,4.6,6,1010,1.7,D
Civil War Surgeons,2013,91,2.6,3,1010,1.7,E
Mr. Lincoln's High Tech War,2013,94,2.2,3,1180,2,E
Across the Great Divide,2013,97.5,2.1,4,1070,1.7,E
Sarah Morgan Dawson,2013,100.5,2.8,2,1010,1.7,E
Boy War,2013,103.5,2.4,4,1060,1.4,E
Gettysburg Address,2013,113.5,2.9,4,1450,1.7,F
Declaration of Independence,2013,117.5,2.5,4,1470,2,F
Declaration of Sentiments,2013,120.5,2.7,2,1460,1.7,F
Ain't I a Woman?,2013,123,3.1,3,1440,1.4,F
Narrative of the Life of Frederick Douglass,2013,133,3.2,17,1080,1.4,G
Incidents in the Life of a Slave Girl,2013,140.5,3.4,2,920,1.4,G
Runaway Notice for Harriet Jacobs,2013,142,2.3,1,1420,1.7,G
No Witchcraft for Sale,2013,144,4.5,3,890,,G
Tom Sawyer,2013,154,4.4,17,750,1.4,H
My Life on the Mississippi,2013,161.5,3.5,2,1090,1,H
